0    ,158023,L. Messi                      ,31,Argentina                     ,94,94,FC Barcelona                            ,110.5M  ,565K ,Left ,10,5'7 ,159lbs
2799 ,221269,J. Riedewald                  ,21,Netherlands                   ,73,80,Crystal Palace                          ,4.9M    ,26K  ,Left ,44,6'0 ,174lbs
2800 ,183893,C. Yacob                      ,30,Argentina                     ,73,73,Nottingham Forest                       ,3M      ,35K  ,Right,24,5'11,161lbs
2801 ,224599,Yan Junling                   ,27,China PR                      ,73,76,Shanghai SIPG FC                        ,3.4M    ,10K  ,Right,1 ,6'3 ,183lbs
2802 ,178007,Miguel Veloso                 ,32,Portugal                      ,73,73,Genoa                                   ,2.3M    ,13K  ,Left ,44,5'11,174lbs
2803 ,203864,B. Zuculini                   ,25,Argentina                     ,73,76,River Plate                             ,4.2M    ,16K  ,Right,5 ,6'0 ,170lbs
2804 ,225880,J. Moreira                    ,28,Paraguay                      ,73,73,River Plate                             ,3.2M    ,18K  ,Right,4 ,5'9 ,170lbs
2805 ,194904,B. Hamid                      ,27,United States                 ,73,76,DC United                               ,3.4M    ,14K  ,Right,24,6'3 ,225lbs
2806 ,205401,V. Qazaishvili                ,25,Georgia                       ,73,75,San Jose Earthquakes                    ,4.9M    ,7K   ,Right,11,5'9 ,176lbs
2807 ,223065,G. Toledo                     ,28,Argentina                     ,73,73,Club Atltico Coln                       ,3.2M    ,11K  ,Right,2 ,5'7 ,159lbs
2808 ,152922,E. Barreto                    ,33,Paraguay                      ,73,73,Sampdoria                               ,2.3M    ,26K  ,Right,8 ,5'11,174lbs
2809 ,175962,N. Bungert                    ,31,Germany                       ,73,73,1. FSV Mainz 05                         ,2.7M    ,20K  ,Right,26,6'2 ,165lbs
2810 ,229980,C. Montes                     ,21,Mexico                        ,73,81,Monterrey                               ,5M      ,22K  ,Right,3 ,6'3 ,154lbs
2811 ,49756 ,J. Poulsen                    ,34,Denmark                       ,73,73,FC Midtjylland                          ,1.9M    ,19K  ,Right,7 ,5'11,163lbs
2812 ,183644,A. Grnwald                    ,29,Austria                       ,73,73,FK Austria Wien                         ,3.9M    ,15K  ,Left ,10,6'2 ,185lbs
2813 ,193884,S. Clucas                     ,27,England                       ,73,73,Stoke City                              ,4.2M    ,34K  ,Left ,22,6'2 ,163lbs
2814 ,204125,J. Boil                       ,27,Czech Republic                ,73,74,SK Slavia Praha                         ,3.7M    ,1K   ,Right,18,5'9 ,165lbs
2815 ,156253,J. Lewis                      ,30,England                       ,73,73,Aberdeen                                ,2.6M    ,6K   ,Right,1 ,6'6 ,187lbs
2816 ,202078,D. Nagbe                      ,27,United States                 ,73,73,Atlanta United                          ,4.1M    ,7K   ,Right,6 ,5'9 ,165lbs
2817 ,142942,J. Gandolfi                   ,37,Argentina                     ,73,73,Club Atltico Talleres                   ,550K    ,9K   ,Right,3 ,5'10,172lbs
2818 ,184926,Fabiano                       ,30,Brazil                        ,73,74,FC Porto                                ,3M      ,8K   ,Right,40,6'6 ,201lbs
2819 ,231007,J. Mii                        ,24,Croatia                       ,73,78,Sporting CP                             ,5.5M    ,9K   ,Right,27,6'2 ,165lbs
2820 ,231263,J. Glin                       ,21,France                        ,73,83,Stade Rennais FC                        ,5.5M    ,16K  ,Right,26,6'0 ,174lbs
2821 ,232543,S. Bertoli                    ,40,Argentina                     ,73,73,Patronato                               ,270K    ,6K   ,Right,1 ,6'1 ,179lbs
2822 ,236639,Xeka                          ,23,Portugal                      ,73,79,LOSC Lille                              ,4.7M    ,19K  ,Right,8 ,6'1 ,183lbs
2823 ,46175 ,M. Rosenberg                  ,35,Sweden                        ,73,73,Malm FF                                 ,1.8M    ,6K   ,Right,9 ,6'0 ,179lbs
2824 ,198240,Raul Garca                    ,29,Spain                         ,73,73,CD Legans                               ,3M      ,22K  ,Left ,14,5'9 ,163lbs
2825 ,202848,G. Caprari                    ,24,Italy                         ,73,78,Sampdoria                               ,5.5M    ,25K  ,Right,17,5'9 ,159lbs
2826 ,210016,Diego Lopes                   ,24,Brazil                        ,73,77,Rio Ave FC                              ,5M      ,7K   ,Right,10,5'7 ,141lbs
2827 ,189024,M. Banguera                   ,32,Ecuador                       ,73,73,                                        ,0       ,0    ,Right,1 ,6'2 ,198lbs
2828 ,190560,O. Gonzalez                   ,29,United States                 ,73,73,Club Atlas                              ,3.1M    ,17K  ,Right,14,6'5 ,203lbs
2829 ,229473,Costinha                      ,25,Portugal                      ,73,76,Vitria de Setbal                        ,4.9M    ,6K   ,Right,11,5'7 ,141lbs
2830 ,231521,E. Palacios                   ,19,Argentina                     ,73,85,River Plate                             ,7M      ,9K   ,Right,15,5'10,146lbs
2831 ,184417,Sergio Tejera                 ,28,Spain                         ,73,73,Real Oviedo                             ,3.2M    ,9K   ,Left ,20,5'11,165lbs
2832 ,229218,Pedro Rocha                   ,23,Brazil                        ,73,79,Spartak Moscow                          ,5.5M    ,1K   ,Right,99,5'10,163lbs
2833 ,194146,K. Long                       ,27,Republic of Ireland           ,73,73,Burnley                                 ,3.4M    ,36K  ,Right,21,6'3 ,181lbs
2834 ,2147  ,M. Stekelenburg               ,35,Netherlands                   ,73,73,Everton                                 ,950K    ,30K  ,Right,22,6'6 ,203lbs
2835 ,215651,Samir                         ,23,Brazil                        ,73,77,Udinese                                 ,4.4M    ,17K  ,Left ,3 ,6'2 ,176lbs
2836 ,211556,Carlos Hernndez               ,27,Spain                         ,73,74,Real Oviedo                             ,3.8M    ,9K   ,Right,6 ,6'1 ,179lbs
2837 ,228708,L. Martnez Quarta             ,22,Argentina                     ,73,82,River Plate                             ,5.5M    ,14K  ,Right,28,6'0 ,172lbs
2838 ,211557,F. Barba                      ,24,Italy                         ,73,79,Chievo Verona                           ,4.7M    ,11K  ,Left ,5 ,6'1 ,170lbs
2839 ,169317,T. Elyounoussi                ,30,Norway                        ,73,73,AIK                                     ,3.9M    ,10K  ,Right,10,5'8 ,146lbs
2840 ,170597,T. Krul                       ,30,Netherlands                   ,73,73,Norwich City                            ,2.6M    ,17K  ,Left ,1 ,6'2 ,163lbs
2841 ,232294,R. Morioka                    ,27,Japan                         ,73,74,RSC Anderlecht                          ,4.6M    ,16K  ,Right,10,5'11,174lbs
2842 ,105318,J. Valds                      ,37,Chile                         ,73,73,Colo-Colo                               ,1.3M    ,6K   ,Right,20,5'9 ,163lbs
2843 ,237670,Bruno Xadas                   ,20,Portugal                      ,73,84,SC Braga                                ,7M      ,9K   ,Left ,10,5'10,159lbs
2844 ,186982,A. Bttner                     ,29,Netherlands                   ,73,73,Vitesse                                 ,3M      ,12K  ,Left ,28,5'9 ,165lbs
2845 ,222825,C. Akolo                      ,23,DR Congo                      ,73,81,VfB Stuttgart                           ,6M      ,25K  ,Right,19,5'8 ,159lbs
2846 ,207722,Cristiano                     ,31,Brazil                        ,73,73,Kashiwa Reysol                          ,3.6M    ,11K  ,Right,9 ,6'0 ,183lbs
2847 ,211818,K. Mhwald                     ,24,Germany                       ,73,77,SV Werder Bremen                        ,5M      ,19K  ,Right,6 ,6'0 ,170lbs
2848 ,214379,A. Rodrguez                   ,29,Colombia                      ,73,73,Minnesota United FC                     ,4M      ,8K   ,Right,9 ,5'11,176lbs
2849 ,229739,J. Gralski                    ,25,Poland                        ,73,77,                                        ,0       ,0    ,Right,6 ,5'8 ,146lbs
2850 ,164459,S. Larsson                    ,33,Sweden                        ,73,73,AIK                                     ,2.3M    ,9K   ,Right,7 ,5'10,154lbs
2851 ,204908,D. Ndongala                   ,27,DR Congo                      ,73,73,KRC Genk                                ,4.2M    ,14K  ,Right,77,5'7 ,130lbs
2852 ,157804,S. Carson                     ,32,England                       ,73,73,Derby County                            ,2.3M    ,25K  ,Right,1 ,6'3 ,190lbs
2853 ,161644,M. Matip                      ,32,Cameroon                      ,73,73,FC Ingolstadt 04                        ,2.3M    ,19K  ,Right,34,6'1 ,187lbs
2854 ,169324,A. Ulmer                      ,32,Austria                       ,73,73,FC Red Bull Salzburg                    ,2.2M    ,25K  ,Left ,17,5'9 ,152lbs
2855 ,183916,J. Pied                       ,29,France                        ,73,73,LOSC Lille                              ,3M      ,23K  ,Right,26,5'8 ,161lbs
2856 ,207725,M. van der Hoorn              ,25,Netherlands                   ,73,76,Swansea City                            ,4.2M    ,20K  ,Right,5 ,6'3 ,183lbs
2857 ,179565,M. Gavranovi                  ,28,Switzerland                   ,73,73,Dinamo Zagreb                           ,4.1M    ,1K   ,Right,18,5'9 ,168lbs
2858 ,193133,J. Stryger Larsen             ,27,Denmark                       ,73,75,Udinese                                 ,3.9M    ,19K  ,Right,17,6'0 ,181lbs
2859 ,201326,G. Torje                      ,28,Romania                       ,73,73,Sivasspor                               ,4M      ,13K  ,Right,22,5'6 ,157lbs
2860 ,225646,C. Mayada                     ,27,Uruguay                       ,73,73,River Plate                             ,3.3M    ,17K  ,Right,18,5'9 ,165lbs
2861 ,212079,M. Prez                       ,25,Mexico                        ,73,78,Guadalajara                             ,4.5M    ,26K  ,Right,25,5'7 ,165lbs
2862 ,178287,S. Arfield                    ,29,Canada                        ,73,73,Rangers FC                              ,3.8M    ,41K  ,Right,7 ,5'10,176lbs
2863 ,185199,S. Ribas                      ,30,Uruguay                       ,73,73,Club Atltico Lans                       ,3.9M    ,17K  ,Left ,37,6'2 ,176lbs
2864 ,199792,A. Christiansen               ,28,Denmark                       ,73,73,Malm FF                                 ,4M      ,7K   ,Right,14,5'9 ,165lbs
2865 ,214384,F. Aguilar                    ,25,Colombia                      ,73,80,Atltico Nacional                        ,4.8M    ,5K   ,Right,3 ,6'3 ,176lbs
2866 ,165232,O. Veigneau                   ,32,France                        ,73,73,Kasimpaa SK                             ,2.2M    ,11K  ,Left ,31,5'9 ,154lbs
2867 ,230513,Gus Outomouro                 ,34,Brazil                        ,73,73,Internacional                           ,2.1M    ,23K  ,Right,18,5'9 ,161lbs
2868 ,211826,R. Czichos                    ,28,Germany                       ,73,73,1. FC Kln                               ,3.2M    ,17K  ,Left ,5 ,6'2 ,205lbs
2869 ,240754,Y. Atal                       ,22,Algeria                       ,73,82,OGC Nice                                ,5.5M    ,19K  ,Right,20,5'9 ,154lbs
2870 ,195698,C. Doukour                    ,25,Ivory Coast                   ,73,78,Levante UD                              ,4.5M    ,16K  ,Right,4 ,5'11,181lbs
2871 ,226419,F. Sambueza                   ,29,Argentina                     ,73,73,Junior FC                               ,3.9M    ,4K   ,Right,25,5'7 ,143lbs
2872 ,230259,Juliano Mascarinhas           ,34,Brazil                        ,73,73,Grmio                                   ,1.2M    ,21K  ,Right,13,6'0 ,176lbs
2873 ,192371,F. Rinaudo                    ,31,Argentina                     ,73,73,Gimnasia y Esgrima La Plata             ,3.4M    ,13K  ,Right,21,5'9 ,163lbs
2874 ,209780,S. Schrijvers                 ,21,Belgium                       ,73,79,Club Brugge KV                          ,5.5M    ,15K  ,Right,16,5'11,150lbs
2875 ,234612,J. Ikon                       ,20,France                        ,73,84,LOSC Lille                              ,7M      ,18K  ,Left ,12,5'9 ,161lbs
2876 ,184436,A. Smithies                   ,28,England                       ,73,75,Cardiff City                            ,3.3M    ,28K  ,Right,12,6'2 ,194lbs
2877 ,198261,T. Ream                       ,30,United States                 ,73,73,Fulham                                  ,3M      ,38K  ,Left ,13,6'2 ,176lbs
2878 ,211061,A. Maxim                      ,27,Romania                       ,73,73,1. FSV Mainz 05                         ,4.2M    ,22K  ,Right,10,5'10,161lbs
2879 ,165493,N. Navarro                    ,33,Argentina                     ,73,73,San Lorenzo de Almagro                  ,2M      ,12K  ,Left ,22,6'3 ,192lbs
2880 ,189557,A. Rispoli                    ,29,Italy                         ,73,73,Palermo                                 ,3M      ,4K   ,Right,3 ,6'2 ,183lbs
2881 ,197238,I. Bald                       ,29,Senegal                       ,73,73,Real Oviedo                             ,4M      ,11K  ,Right,17,6'3 ,187lbs
2882 ,229494,Miguel Vieira                 ,27,Portugal                      ,73,74,CD Lugo                                 ,3.8M    ,8K   ,Right,23,6'3 ,176lbs
2883 ,169078,L. Freeman                    ,26,England                       ,73,74,Queens Park Rangers                     ,4.7M    ,9K   ,Left ,7 ,5'8 ,161lbs
2884 ,179574,G. Hooper                     ,30,England                       ,73,73,Sheffield Wednesday                     ,3.9M    ,25K  ,Right,14,5'9 ,157lbs
2885 ,215927,R. Emond                      ,26,Belgium                       ,73,74,Standard de Lige                        ,4.8M    ,15K  ,Right,9 ,6'1 ,161lbs
2886 ,183671,E. Terranova                  ,31,Italy                         ,73,73,US Cremonese                            ,2.7M    ,4K   ,Right,26,6'1 ,190lbs
2887 ,184183,S. Dewaest                    ,27,Belgium                       ,73,74,KRC Genk                                ,3.8M    ,12K  ,Right,6 ,6'2 ,207lbs
2888 ,189303,Nlson Oliveira                ,26,Portugal                      ,73,73,Norwich City                            ,4.4M    ,25K  ,Right,9 ,6'1 ,181lbs
2889 ,199288,A. Losilla                    ,32,France                        ,73,73,VfL Bochum 1848                         ,2.3M    ,14K  ,Right,8 ,6'1 ,176lbs
2890 ,214136,F. Meza                       ,26,Colombia                      ,73,76,Tigres U.A.N.L.                         ,4.2M    ,36K  ,Right,21,6'0 ,161lbs
2891 ,215417,C. Mathenia                   ,26,Germany                       ,73,76,1. FC Nrnberg                           ,3.5M    ,15K  ,Right,26,6'2 ,198lbs
2892 ,218745,O. Ntcham                     ,22,France                        ,73,82,Celtic                                  ,6M      ,34K  ,Right,21,5'11,179lbs
2893 ,202106,M. Knoll                      ,27,Germany                       ,73,73,FC St. Pauli                            ,3.4M    ,14K  ,Left ,5 ,6'0 ,179lbs
2894 ,208250,A. Bakasetas                  ,25,Greece                        ,73,77,AEK Athens                              ,5M      ,1K   ,Left ,14,5'11,170lbs
2895 ,221306,M. Barrios                    ,27,Colombia                      ,73,73,FC Dallas                               ,4.2M    ,7K   ,Right,21,5'4 ,143lbs
2896 ,228730,S. Salcedo                    ,20,Paraguay                      ,73,80,Club Atltico Huracn                     ,4.9M    ,9K   ,Right,6 ,6'0 ,165lbs
2897 ,234618,Perdigo                       ,26,Brazil                        ,73,73,GD Chaves                               ,4.3M    ,10K  ,Right,10,6'1 ,170lbs
2898 ,239482,Galeno                        ,20,Brazil                        ,73,84,Rio Ave FC                              ,7M      ,9K   ,Right,90,6'0 ,159lbs
2899 ,192122,Bveda                         ,29,Spain                         ,73,73,Deportivo de La Corua                   ,3M      ,9K   ,Right,24,5'11,170lbs
2900 ,192634,Marc Mateu                    ,28,Spain                         ,73,73,CD Numancia                             ,4M      ,10K  ,Left ,21,5'11,157lbs
2901 ,204412,G. Saville                    ,25,Northern Ireland              ,73,76,Middlesbrough                           ,4.9M    ,12K  ,Left ,6 ,5'9 ,161lbs
2902 ,213884,R. Christie                   ,23,Scotland                      ,73,78,Celtic                                  ,5.5M    ,34K  ,Left ,10,5'10,157lbs
2903 ,237692,P. Foden                      ,18,England                       ,73,88,Manchester City                         ,8M      ,36K  ,Left ,47,5'7 ,130lbs
2904 ,208509,T. Foket                      ,23,Belgium                       ,73,78,Stade de Reims                          ,4.5M    ,12K  ,Right,32,5'10,179lbs
2905 ,188541,P. Schiattarella              ,31,Italy                         ,73,73,SPAL                                    ,3.4M    ,12K  ,Right,28,5'10,161lbs
2906 ,201342,F. Srensen                    ,26,Denmark                       ,73,76,1. FC Kln                               ,4.2M    ,16K  ,Right,4 ,6'4 ,194lbs
2907 ,207998,D. Ward                       ,25,Wales                         ,73,76,Leicester City                          ,3.5M    ,32K  ,Right,12,6'3 ,194lbs
2908 ,212350,L. Diony                      ,25,France                        ,73,76,AS Saint-tienne                         ,5M      ,26K  ,Right,9 ,6'0 ,181lbs
2909 ,229758,R. Kruni                      ,24,Bosnia Herzegovina            ,73,78,Empoli                                  ,5.5M    ,11K  ,Right,33,6'0 ,163lbs
2910 ,110974,Riesgo                        ,34,Spain                         ,73,73,SD Eibar                                ,1.6M    ,13K  ,Right,13,6'1 ,168lbs
2911 ,183422,J. Howson                     ,30,England                       ,73,73,Middlesbrough                           ,3.7M    ,41K  ,Right,16,5'11,170lbs
2912 ,53630 ,J. Van Damme                  ,34,Belgium                       ,73,73,Royal Antwerp FC                        ,1.2M    ,10K  ,Left ,37,6'3 ,196lbs
2913 ,181375,M. Martins                    ,31,Bolivia                       ,73,73,                                        ,0       ,0    ,Right,9 ,6'2 ,181lbs
2914 ,228736,W. Farez                      ,20,Venezuela                     ,73,83,Millonarios FC                          ,5M      ,2K   ,Right,1 ,5'11,179lbs
2915 ,234624,B. Dibassy                    ,28,Mali                          ,73,73,Amiens SC                               ,3.2M    ,15K  ,Left ,12,6'0 ,163lbs
2916 ,177280,T. Reginiussen                ,32,Norway                        ,73,73,Rosenborg BK                            ,2.3M    ,6K   ,Right,4 ,6'1 ,176lbs
2917 ,228737,G. Rivas                      ,29,Venezuela                     ,73,73,Al Hilal                                ,4M      ,33K  ,Right,11,6'0 ,190lbs
2918 ,230529,Benjamin Meseira              ,34,Brazil                        ,73,73,Chapecoense                             ,1.1M    ,13K  ,Right,2 ,5'11,165lbs
2919 ,231041,C. Ninga                      ,25,Chad                          ,73,78,Stade Malherbe Caen                     ,5.5M    ,20K  ,Right,11,6'1 ,179lbs
2920 ,169345,M. Suttner                    ,31,Austria                       ,73,73,Brighton & Hove Albion                  ,2.6M    ,33K  ,Left ,29,5'10,161lbs
2921 ,183937,G. van der Wiel               ,30,Netherlands                   ,73,73,Toronto FC                              ,3M      ,7K   ,Right,9 ,6'0 ,172lbs
2922 ,232066,W. Gonzlez                    ,23,Paraguay                      ,73,81,Club Len                                ,6M      ,22K  ,Right,9 ,6'1 ,174lbs
2923 ,181123,T. Hoava                      ,30,Czech Republic                ,73,73,Viktoria Plze                           ,3.7M    ,1K   ,Right,12,6'0 ,154lbs
2924 ,190084,P. Tachtsidis                 ,27,Greece                        ,73,73,Nottingham Forest                       ,3.4M    ,35K  ,Left ,34,6'3 ,190lbs
2925 ,212613,W. Sad                        ,23,France                        ,73,79,Dijon FCO                               ,5.5M    ,12K  ,Right,9 ,5'7 ,165lbs
2926 ,219525,E. Cerutti                    ,26,Argentina                     ,73,74,Independiente                           ,4.7M    ,29K  ,Right,27,5'10,165lbs
2927 ,230277,Gustavo Lobateiro             ,30,Brazil                        ,73,73,Internacional                           ,3.8M    ,21K  ,Left ,8 ,5'11,168lbs
2928 ,225926,Pere Milla                    ,25,Spain                         ,73,76,SD Eibar                                ,5M      ,17K  ,Left ,22,5'10,154lbs
2929 ,181383,J. Johansson                  ,28,Sweden                        ,73,73,Stade Rennais FC                        ,4M      ,26K  ,Right,6 ,6'2 ,190lbs
2930 ,210313,T. Murg                       ,23,Austria                       ,73,77,SK Rapid Wien                           ,5M      ,14K  ,Left ,10,5'8 ,154lbs
2931 ,214665,J. Ramrez                     ,25,Argentina                     ,73,75,Club Atltico Talleres                   ,4.8M    ,14K  ,Left ,20,5'9 ,150lbs
2932 ,215433,F. Vicari                     ,23,Italy                         ,73,81,SPAL                                    ,5M      ,10K  ,Right,23,6'3 ,176lbs
2933 ,225673,K. Adams Nuhu                 ,23,Ghana                         ,73,81,TSG 1899 Hoffenheim                     ,5M      ,20K  ,Right,15,6'3 ,183lbs
2934 ,206218,P. Nardi                      ,24,France                        ,73,78,KSV Cercle Brugge                       ,3.9M    ,27K  ,Right,1 ,6'2 ,181lbs
2935 ,208522,H. Magnsson                   ,25,Iceland                       ,73,78,PFC CSKA Moscow                         ,4.5M    ,1K   ,Left ,18,6'3 ,179lbs
2936 ,233866,O. Edouard                    ,20,France                        ,73,84,Celtic                                  ,7M      ,32K  ,Right,22,6'2 ,183lbs
2937 ,234378,D. Rice                       ,19,Republic of Ireland           ,73,84,West Ham United                         ,6M      ,21K  ,Right,41,6'1 ,176lbs
2938 ,230283,Evandro Rochedo               ,34,Brazil                        ,73,73,Atltico Mineiro                         ,2.1M    ,29K  ,Right,9 ,6'2 ,181lbs
2939 ,172939,K. Westwood                   ,33,Republic of Ireland           ,73,73,Sheffield Wednesday                     ,2M      ,17K  ,Left ,1 ,6'2 ,190lbs
2940 ,178571,Bracali                       ,37,Brazil                        ,73,73,Boavista FC                             ,270K    ,4K   ,Right,1 ,6'1 ,172lbs
2941 ,213132,M. Sperduti                   ,32,Argentina                     ,73,73,Patronato                               ,3.1M    ,13K  ,Right,14,5'11,161lbs
2942 ,224396,Y. Gmez Andrade               ,26,Colombia                      ,73,75,Unin de Santa Fe                        ,4M      ,12K  ,Right,28,6'2 ,203lbs
2943 ,215181,G. Peruzzi                    ,26,Argentina                     ,73,76,Boca Juniors                            ,4.1M    ,17K  ,Right,14,5'10,157lbs
2944 ,229517,Toni Villa                    ,23,Spain                         ,73,82,Real Valladolid CF                      ,6M      ,14K  ,Right,19,5'7 ,139lbs
2945 ,214158,Y. Gordillo                   ,26,Colombia                      ,73,78,Independiente Santa Fe                  ,4.4M    ,4K   ,Right,30,5'9 ,161lbs
2946 ,152718,Ricardo                       ,31,Portugal                      ,73,73,Henan Jianye FC                         ,3.6M    ,13K  ,Right,9 ,6'2 ,176lbs
2947 ,220302,B. Sanneh                     ,23,Gambia                        ,73,79,RSC Anderlecht                          ,4.7M    ,13K  ,Right,4 ,6'0 ,165lbs
2948 ,230286,Michel Cruceiro               ,26,Brazil                        ,73,73,Atltico Mineiro                         ,3.5M    ,24K  ,Left ,13,6'1 ,181lbs
2949 ,176526,L. Burin                      ,34,Uruguay                       ,73,73,Club Atltico Coln                       ,1.6M    ,9K   ,Right,1 ,6'2 ,179lbs
2950 ,182670,M. Tekdemir                   ,30,Turkey                        ,73,73,Medipol Baakehir FK                     ,3M      ,18K  ,Right,14,5'10,150lbs
2951 ,199568,K. Lamprou                    ,26,Greece                        ,73,74,Ajax                                    ,3.2M    ,11K  ,Left ,26,5'10,185lbs
2952 ,210320,I. Mbaye                      ,23,Senegal                       ,73,80,Bologna                                 ,4.7M    ,19K  ,Right,15,6'2 ,154lbs
2953 ,216464,A. Browne                     ,23,Republic of Ireland           ,73,78,Preston North End                       ,5.5M    ,11K  ,Right,8 ,5'8 ,157lbs
2954 ,137361,G. Pazzini                    ,33,Italy                         ,73,73,Hellas Verona                           ,2.5M    ,5K   ,Right,11,5'11,172lbs
2955 ,212369,Eduardo                       ,25,Brazil                        ,73,76,SC Braga                                ,4.9M    ,11K  ,Left ,11,5'10,157lbs
2956 ,193169,C. Santos                     ,30,Venezuela                     ,73,73,Deportivo de La Corua                   ,3.9M    ,10K  ,Left ,9 ,6'0 ,154lbs
2957 ,234642,E. Mendy                      ,26,Senegal                       ,73,76,Stade de Reims                          ,3.5M    ,12K  ,Right,16,6'6 ,190lbs
2958 ,236690,M. Ngadeu-Ngadjui             ,27,Cameroon                      ,73,75,SK Slavia Praha                         ,3.9M    ,1K   ,Right,5 ,6'3 ,205lbs
2959 ,221331,L. Mazzitelli                 ,22,Italy                         ,73,78,Genoa                                   ,5.5M    ,32K  ,Right,15,6'0 ,168lbs
2960 ,221587,J. Lolley                     ,25,England                       ,73,74,Nottingham Forest                       ,4.8M    ,36K  ,Left ,23,5'10,159lbs
2961 ,178323,A. Traor                      ,29,Burkina Faso                  ,73,73,Atiker Konyaspor                        ,3.9M    ,16K  ,Left ,12,5'9 ,157lbs
2962 ,183187,V. Stocker                    ,29,Switzerland                   ,73,73,FC Basel 1893                           ,3.9M    ,22K  ,Left ,14,5'10,161lbs
2963 ,191123,D. Alar                       ,28,Austria                       ,73,73,SK Rapid Wien                           ,4.1M    ,18K  ,Left ,29,6'1 ,172lbs
2964 ,216468,J. Aor                        ,24,Venezuela                     ,73,78,Mlaga CF                                ,5.5M    ,8K   ,Left ,10,5'9 ,148lbs
2965 ,227732,A. Donis                      ,21,Greece                        ,73,83,VfB Stuttgart                           ,6.5M    ,21K  ,Right,17,5'10,168lbs
2966 ,183188,M. Gazzola                    ,33,Italy                         ,73,73,Parma                                   ,1.5M    ,29K  ,Right,23,6'0 ,172lbs
2967 ,194196,F. Diagne                     ,28,Senegal                       ,73,73,Atiker Konyaspor                        ,3.2M    ,14K  ,Right,3 ,6'1 ,172lbs
2968 ,137109,S. Schaars                    ,34,Netherlands                   ,73,73,SC Heerenveen                           ,1.2M    ,8K   ,Left ,6 ,5'10,165lbs
2969 ,209301,M. Poundj                     ,25,France                        ,73,76,FC Girondins de Bordeaux                ,4.1M    ,27K  ,Left ,29,5'11,163lbs
2970 ,214421,F. Hinestroza                 ,28,Colombia                      ,73,73,Rionegro guilas                         ,4M      ,2K   ,Left ,17,5'10,154lbs
2971 ,211862,A. Hahn                       ,27,Germany                       ,73,73,FC Augsburg                             ,4.2M    ,20K  ,Right,28,6'1 ,174lbs
2972 ,244376,V. Shepelev                   ,21,Ukraine                       ,73,82,Dynamo Kyiv                             ,5.5M    ,1K   ,Right,8 ,6'0 ,161lbs
2973 ,200857,M. Leitner                    ,25,Germany                       ,73,75,Norwich City                            ,4.8M    ,22K  ,Right,10,5'9 ,150lbs
2974 ,215449,R. Skov                       ,22,Denmark                       ,73,81,FC Kbenhavn                             ,6M      ,15K  ,Left ,29,6'0 ,168lbs
2975 ,164505,B. Guzan                      ,33,United States                 ,73,73,Atlanta United                          ,2M      ,5K   ,Left ,1 ,6'4 ,209lbs
2976 ,237209,M. Mitrovi                    ,24,Croatia                       ,73,78,Club Brugge KV                          ,4.5M    ,14K  ,Right,15,6'2 ,187lbs
2977 ,192665,A. Luthe                      ,31,Germany                       ,73,73,FC Augsburg                             ,2.4M    ,15K  ,Right,1 ,6'5 ,187lbs
2978 ,193177,A. Traor                      ,28,Ivory Coast                   ,73,73,Gztepe SK                               ,3.2M    ,19K  ,Left ,5 ,5'7 ,161lbs
2979 ,193945,N. Uysal                      ,27,Turkey                        ,73,75,Beikta JK                               ,3.9M    ,32K  ,Right,20,5'11,159lbs
2980 ,197786,G. Donati                     ,28,Italy                         ,73,73,1. FSV Mainz 05                         ,3.2M    ,21K  ,Right,2 ,5'10,168lbs
2981 ,198554,A. Ujah                       ,27,Nigeria                       ,73,73,1. FSV Mainz 05                         ,4.3M    ,23K  ,Right,20,6'0 ,179lbs
2982 ,188058,A. Kravets                    ,29,Ukraine                       ,73,73,Kayserispor                             ,4M      ,14K  ,Right,11,6'2 ,174lbs
2983 ,193690,Z. Tomaevi                    ,28,Montenegro                    ,73,74,KV Oostende                             ,3.6M    ,13K  ,Left ,33,6'3 ,185lbs
2984 ,205211,M. Borjan                     ,30,Canada                        ,73,73,                                        ,0       ,0    ,Right,18,6'5 ,185lbs
2985 ,236699,S. Luki                       ,21,Serbia                        ,73,80,Torino                                  ,4.9M    ,21K  ,Right,7 ,6'0 ,170lbs
2986 ,199580,C. Goldson                    ,25,England                       ,73,80,Rangers FC                              ,4.8M    ,34K  ,Right,6 ,6'3 ,187lbs
2987 ,229788,Rubn Alcaraz                  ,27,Spain                         ,73,74,Real Valladolid CF                      ,4.5M    ,16K  ,Right,14,5'11,168lbs
2988 ,165788,L. Ulloa                      ,31,Argentina                     ,73,73,Pachuca                                 ,3.6M    ,26K  ,Right,11,6'2 ,196lbs
2989 ,206238,Ivn Lpez                      ,24,Spain                         ,73,78,Gimnstic de Tarragona                   ,4.5M    ,15K  ,Right,2 ,5'9 ,152lbs
2990 ,224158,S. Amrabat                    ,21,Morocco                       ,73,79,Club Brugge KV                          ,5.5M    ,13K  ,Right,6 ,6'0 ,170lbs
2991 ,231838,M. Wber                       ,20,Austria                       ,73,81,Ajax                                    ,5M      ,9K   ,Left ,5 ,6'2 ,181lbs
2992 ,204447,F. Lucioni                    ,30,Italy                         ,73,73,Lecce                                   ,3M      ,4K   ,Right,25,6'1 ,176lbs
2993 ,240289,Calero                        ,22,Spain                         ,73,82,Real Valladolid CF                      ,5.5M    ,13K  ,Right,5 ,6'0 ,165lbs
